citycode,prefname,lat,lng
011011,Hokkaido,43.055460,141.340956
022012,Aomori,40.822072,140.747365
032018,Iwate,39.702053,141.154484
041017,Miyagi,38.269076,140.870403
052019,Akita,39.720008,140.102564
062014,Yamagata,38.255439,140.339602
072010,Fukushima,37.760834,140.474728
082015,Ibaragi,36.366503,140.470996
092011,Tochigi,36.555112,139.882807
102016,Gunma,36.389482,139.063428
111015,Saitama,35.925302,139.579472
121011,Chiba,35.608932,140.124636
131016,Tokyo,35.694003,139.753595
141011,Kanagawa,35.508404,139.682540
151017,Nigata,37.916243,139.218588
162019,Toyama,36.695952,137.213677
172022,Ishikawa,37.043102,136.967518
182010,Fukui,36.064067,136.219494
192015,Yamanashi,35.662280,138.568202
202011,Nagano,36.648550,138.194243
212016,Gifu,35.423298,136.760654
221015,Shizuoka,34.975140,138.383243
231011,Aichi,35.166486,136.946434
242012,Mie,34.718596,136.505698
252018,Shiga,35.017893,135.854607
261017,Kyoto,35.041053,135.753983
271021,Ohsaka,34.701279,135.528090
281018,Hyogo,34.720228,135.265455
292010,Nara,34.685087,135.805000
302015,Wakayama,34.230511,135.170808
312011,Tottori,35.501133,134.235091
322016,Shimane,35.468060,133.048375
331015,Okayama,34.655340,133.919813
341011,Hiroshima,34.386245,132.455018
352012,Yamaguchi,33.957831,130.941459
362018,Tokushima,34.070270,134.554844
372013,Kagawa,34.342788,134.046574
382019,Ehime,33.839157,132.765575
392014,Kochi,33.559587,133.529279
401013,Fukuoka,33.941138,130.959663
412015,Saga,33.263482,130.300858
422011,Nagasaki,32.750286,129.877667
431010,Kumamoto,32.803225,130.708191
442011,Ohita,33.239558,131.609272
452017,Miyazaki,31.907674,131.420241
462012,Kagoshima,31.596554,130.557116
472018,Okinawa,26.212312,127.679157
