date,value
2024/10/31,"	0"
2024/11/1,"	0"
2024/11/2,"	0"
2024/11/3,"	0"
2024/11/4,"	0"
2024/11/5,"	0"
2024/11/6,"	0"
2024/11/7,"	0"
2024/11/8,"	0"
2024/11/9,"	0"
2024/11/10,"	0"
2024/11/11,"	0"
2024/11/12,"	0"
2024/11/13,"	0"
2024/11/14,"	0"
2024/11/15,"	0"
2024/11/16,"	0"
2024/11/17,"	0"
2024/11/18,"	0"
2024/11/19,"	0"
2024/11/20,"	0"
2024/11/21,"	0"
2024/11/22,"	0"
2024/11/23,"	0"
2024/11/24,"	0"
2024/11/25,"	0"
2024/11/26,"	4"
2024/11/27,"	3"
2024/11/28,"	3"
2024/11/29,"	3"
2024/11/30,3
2024/12/1,4
2024/12/2,9
2024/12/3,4
2024/12/4,4
2024/12/5,6
2024/12/6,8
2024/12/7,4
2024/12/8,3
2024/12/9,5
2024/12/10,1
2024/12/11,2
2024/12/12,1
2024/12/13,2
2024/12/14,1
2024/12/15,0
2024/12/16,1
2024/12/17,10
2024/12/18,5
2024/12/19,2
2024/12/20,1
2024/12/21,2
2024/12/22,1
2024/12/23,0
2024/12/24,1
2024/12/25,1
2024/12/26,2
2024/12/27,2
2024/12/28,1
2024/12/29,2
2024/12/30,2
2024/12/31,1
2025/1/1,1
2025/1/2,0
2025/1/3,0
2025/1/4,1
2025/1/5,3
2025/1/6,11
2025/1/7,2
2025/1/8,2
2025/1/9,0
2025/1/10,1
2025/1/11,1
2025/1/12,3
2025/1/13,1
2025/1/14,2
2025/1/15,1
2025/1/16,0
2025/1/17,0
2025/1/18,0
2025/1/19,2
2025/1/20,5
2025/1/21,2
2025/1/22,3
2025/1/23,0
2025/1/24,0
2025/1/25,0
2025/1/26,0
2025/1/27,1
2025/1/28,2
2025/1/29,1
2025/1/30,2
2025/1/31,1
2025/2/1,2
2025/2/2,3
2025/2/3,1
2025/2/4,3
2025/2/5,0
2025/2/6,1
2025/2/7,3
2025/2/8,4
2025/2/9,4
2025/2/10,1
2025/2/11,1
2025/2/12,3
2025/2/13,1
2025/2/14,0
2025/2/15,1
2025/2/16,3
2025/2/17,2
2025/2/18,1
2025/2/19,1
2025/2/20,2
2025/2/21,8
2025/2/22,0
2025/2/23,2
2025/2/24,0
2025/2/25,2
2025/2/26,1
2025/2/27,1
2025/2/28,1
2025/3/1,2
2025/3/2,0
2025/3/3,1
2025/3/4,0
2025/3/5,1
2025/3/6,4
2025/3/7,1
2025/3/8,0
2025/3/9,1
2025/3/10,1
2025/3/11,1
2025/3/12,5
2025/3/13,4
2025/3/14,1
2025/3/15,2
2025/3/16,3
2025/3/17,2
2025/3/18,0
2025/3/19,1
2025/3/20,2
2025/3/21,2
2025/3/22,3
2025/3/23,6
2025/3/24,3
2025/3/25,9
2025/3/26,1
2025/3/27,2
2025/3/28,2
2025/3/29,1
2025/3/30,1
2025/3/31,0
