地域,市区町村,アクティブ ユーザー,新規ユーザー数,エンゲージのあったセッション数,エンゲージメント率,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数,キーイベント,ユーザー キーイベント率,合計収益
Tokyo,(not set),41,39,36,0.5454545454545454,0.8780487804878049,15.951219512195122,221,0,0,0
Miyagi,Sendai,18,17,145,0.7631578947368421,8.055555555555555,239.83333333333334,997,0,0,0
Colorado,(not set),10,10,0,0,0,0,30,0,0,0
(not set),(not set),5,5,0,0,0,0,15,0,0,0
Ibaraki,Tsukuba,3,3,3,1,1,31.333333333333332,15,0,0,0
Osaka,Osaka,3,3,2,0.6666666666666666,0.6666666666666666,15,13,0,0,0
Tochigi,Utsunomiya,3,2,3,1,1,16,11,0,0,0
Ishikawa,Nanao,2,0,4,0.8,2,25.5,18,0,0,0
Saitama,Moroyama,2,2,1,0.5,0.5,23.5,13,0,0,0
South Carolina,Abbeville,2,2,0,0,0,0,6,0,0,0
Tochigi,Oyama,2,1,1,0.3333333333333333,0.5,12.5,8,0,0,0
Tokyo,Bunkyo City,2,2,0,0,0,0,6,0,0,0
Tokyo,Setagaya City,2,1,0,0,0,0,5,0,0,0
Tokyo,Shibuya City,2,2,0,0,0,0,6,0,0,0
,,1,1,1,1,1,52,12,0,0,0
Anhui,Hefei,1,1,0,0,0,0,4,0,0,0
Chiba,Chiba,1,0,2,1,2,9,8,0,0,0
Chiba,Funabashi,1,1,1,1,1,11,5,0,0,0
Chongqing,Chongqing,1,1,0,0,0,0,3,0,0,0
England,London,1,1,1,1,1,33,4,0,0,0
Fukuoka,Fukuoka,1,1,1,1,1,9,5,0,0,0
Gifu,Nakatsugawa,1,1,0,0,0,0,3,0,0,0
Guangdong Province,Shenzhen,1,1,0,0,0,0,3,0,0,0
Hokkaido,Engaru,1,1,1,1,1,68,5,0,0,0
Hokkaido,Sapporo,1,1,1,0.5,1,7,6,0,0,0
Hyogo,Kobe,1,1,1,1,1,54,9,0,0,0
Hyogo,Nishinomiya,1,1,1,0.5,1,33,10,0,0,0
Ishikawa,Kanazawa,1,1,0,0,0,15,5,0,0,0
Kanagawa,Hiratsuka,1,1,1,1,1,5,4,0,0,0
Kanagawa,Sagamihara,1,1,1,1,1,29,6,0,0,0
Lombardy,Monza,1,1,0,0,0,0,3,0,0,0
Mie,Yokkaichi,1,1,0,0,0,0,3,0,0,0
Niigata,Murakami,1,1,0,0,0,0,3,0,0,0
North Holland,Haarlem,1,1,0,0,0,0,3,0,0,0
Saitama,Ranzan,1,1,1,1,1,37,5,0,0,0
Tokyo,Chuo City,1,1,0,0,0,0,3,0,0,0
Tokyo,Kita City,1,1,1,1,1,7,4,0,0,0
Tokyo,Minato City,1,0,1,1,1,18,3,0,0,0
Tokyo,Nerima City,1,1,1,1,1,9,4,0,0,0
Tokyo,Shinjuku City,1,1,1,1,1,7,4,0,0,0
Yamanashi,Kofu,1,1,0,0,0,0,3,0,0,0
Aichi,Nagoya,0,0,0,0,0,0,2,0,0,0
Hyogo,Shiso,0,0,0,0,0,0,2,0,0,0
