date,value
2024/10/31,0
2024/11/1,0
2024/11/2,0
2024/11/3,0
2024/11/4,0
2024/11/5,"	0"
2024/11/6,"	0"
2024/11/7,"	0"
2024/11/8,"	0"
2024/11/9,"	0"
2024/11/10,"	0"
2024/11/11,"	0"
2024/11/12,"	0"
2024/11/13,"	0"
2024/11/14,"	0"
2024/11/15,"	0"
2024/11/16,"	0"
2024/11/17,"	0"
2024/11/18,"	0"
2024/11/19,"	0"
2024/11/20,"	0"
2024/11/21,"	0"
2024/11/22,"	0"
2024/11/23,"	0"
2024/11/24,"	0"
2024/11/25,"	0"
2024/11/26,"	18"
2024/11/27,"	4"
2024/11/28,"	2"
2024/11/29,"	2"
2024/11/30,2
2024/12/1,4
2024/12/2,8
2024/12/3,2
2024/12/4,7
2024/12/5,6
2024/12/6,3
2024/12/7,3
2024/12/8,0
2024/12/9,9
2024/12/10,1
2024/12/11,1
2024/12/12,1
2024/12/13,1
2024/12/14,2
2024/12/15,1
2024/12/16,1
2024/12/17,98
2024/12/18,38
2024/12/19,4
2024/12/20,4
2024/12/21,1
2024/12/22,3
2024/12/23,2
2024/12/24,0
2024/12/25,13
2024/12/26,4
2024/12/27,5
2024/12/28,4
