地域,市区町村,アクティブ ユーザー,新規ユーザー数,エンゲージのあったセヂ�ョン数,エンゲージメント率,エンゲージメント�あったセヂ�ョン数�1 アクヂ�� ユーザーあたり�,アクヂ�� ユーザーあたり�平坂�ンゲージメント時�,イベント数,キーイベン�,ユーザー キーイベント率,合計収�
Tokyo,(not set),525,513,272,0.4697754749568221,0.518095238,19.483809523809523,2351,0,0,0
Miyagi,Sendai,68,66,173,0.762114537,2.5441176470588234,144.2058823529412,2223,0,0,0
Tokyo,Shinjuku City,42,39,14,0.3181818181818182,0.3333333333333333,7.714285714285714,145,0,0,0
Osaka,Osaka,34,33,16,0.45714285714285713,0.47058823529411764,10.441176470588236,137,0,0,0
(not set),(not set),22,20,12,0.46153846153846156,0.5454545454545454,22.818181818181817,125,0,0,0
Aichi,Nagoya,21,18,12,0.5217391304347826,0.5714285714285714,17.714285714285715,115,0,0,0
Tokyo,Arakawa City,19,18,5,0.2631578947368421,0.2631578947368421,6.7368421052631575,65,0,0,0
Hokkaido,Sapporo,18,17,12,0.5454545454545454,0.6666666666666666,26.944444444444443,95,0,0,0
Kanagawa,Yokohama,16,13,10,0.5555555555555556,0.625,32.1875,82,0,0,0
Tokyo,Shibuya,14,14,8,0.42105263157894735,0.5714285714285714,36.357142857142854,115,0,0,0
Fukuoka,Fukuoka,13,12,5,0.35714285714285715,0.38461538461538464,9.538461538461538,53,0,0,0
Kyoto,Kyoto,13,13,4,0.25,0.3076923076923077,6.076923076923077,53,0,0,0
Tokyo,Chuo City,11,10,5,0.4166666666666667,0.45454545454545453,13.454545454545455,42,0,0,0
Hyogo,Kobe,9,9,5,0.45454545454545453,0.5555555555555556,19.22222222222222,40,0,0,0
Ibaraki,Tsukuba,9,8,7,0.7,0.7777777777777778,32.666666666666664,75,0,0,0
North Carolina,Forest City,9,9,6,0.6666666666666666,0.6666666666666666,2.3333333333333335,39,0,0,0
Tokyo,Shibuya City,8,8,4,0.5,0.5,22.125,32,0,0,0
Tokyo,Setagaya City,7,7,3,0.42857142857142855,0.42857142857142855,12.714285714285714,29,0,0,0
Chiba,Chiba,6,6,2,0.25,0.3333333333333333,16.166666666666668,29,0,0,0
County Dublin,Dublin,6,6,4,0.6666666666666666,0.6666666666666666,4,28,0,0,0
Mie,Yokkaichi,6,6,2,0.3333333333333333,0.3333333333333333,2.6666666666666665,21,0,0,0
Tokyo,Minato City,6,4,4,0.5714285714285714,0.6666666666666666,32.666666666666664,32,0,0,0
Chiba,Abiko,5,4,3,0.6,0.6,17,17,0,0,0
Hiroshima,Higashihiroshima,5,5,4,0.8,0.8,20.8,22,0,0,0
Hyogo,Shiso,5,5,4,0.8,0.8,17.6,20,0,0,0
Ishikawa,Kanazawa,5,5,3,0.5,0.6,13,26,0,0,0
Kanagawa,Kawasaki,5,4,1,0.2,0.2,8,16,0,0,0
Osaka,Ibaraki,5,4,3,0.6,0.6,24.8,24,0,0,0
Osaka,Toyonaka,5,5,3,0.6,0.6,21,22,0,0,0
Saitama,Saitama,5,5,2,0.4,0.4,14.6,18,0,0,0
Shizuoka,Shizuoka,5,5,6,1,1.2,75.8,27,0,0,0
Tokyo,Chiyoda City,5,5,3,0.5,0.6,15.2,22,0,0,0
Tokyo,Fuchu,5,5,0,0,0,0.4,19,0,0,0
Chiba,Kashiwa,4,4,1,0.25,0.25,4.75,16,0,0,0
