地�,市区町�,アクヂ�� ユーザー,新規ユーザー数,エンゲージのあったセヂ�ョン数,エンゲージメント率,エンゲージメント�あったセヂ�ョン数�1 アクヂ�� ユーザーあたり�,アクヂ�� ユーザーあたり�平坂�ンゲージメント時�,イベント数,キーイベン�,ユーザー キーイベント率,合計収�
Tokyo,(not set),635,611,331,0.46619718309859154,0.521259843,20.313385826771654,2906,0,0,0
(not set),(not set),192,179,78,0.37142857142857144,0.40625,15.364583333333334,904,0,0,0
Tokyo,Shinjuku City,146,135,54,0.34177215189873417,0.3698630136986301,14.095890410958905,570,0,0,0
Miyagi,Sendai,133,130,356,0.7325102880658436,2.6766917293233083,141.10526315789474,4245,0,0,0
Osaka,Osaka,79,73,33,0.38372093023255816,0.4177215189873418,10.848101265822784,333,0,0,0
Tokyo,Shibuya,63,60,28,0.3888888888888889,0.4444444444444444,18.761904761904763,302,0,0,0
Tokyo,Minato City,44,38,20,0.4166666666666667,0.45454545454545453,22.90909090909091,234,0,0,0
Hokkaido,Sapporo,43,38,23,0.46,0.5348837209302325,24.41860465116279,258,0,0,0
Kanagawa,Yokohama,40,33,25,0.5102040816326531,0.625,47.8,246,0,0,0
Aichi,Nagoya,37,33,27,0.5192307692307693,0.7297297297297297,28.10810810810811,254,0,0,0
Tokyo,Ota City,32,27,22,0.5641025641025641,0.6875,28.25,154,0,0,0
Kyoto,Kyoto,31,30,13,0.37142857142857144,0.41935483870967744,18.903225806451612,149,0,0,0
Tokyo,Setagaya City,28,25,18,0.5,0.6428571428571429,37.035714285714285,164,0,0,0
Hyogo,Kobe,23,22,10,0.4,0.43478260869565216,12.869565217391305,84,0,0,0
Fukuoka,Fukuoka,21,19,12,0.5217391304347826,0.5714285714285714,25.238095238095237,121,0,0,0
Tokyo,Arakawa City,21,19,6,0.2857142857142857,0.2857142857142857,8.857142857142858,75,0,0,0
Tokyo,Chuo City,21,18,11,0.4583333333333333,0.5238095238095238,14.904761904761905,93,0,0,0
Tokyo,Chiyoda City,20,17,10,0.38461538461538464,0.5,42.9,181,0,0,0
Tokyo,Bunkyo City,18,15,12,0.5,0.6666666666666666,51.666666666666664,154,0,0,0
Chiba,Chiba,14,11,13,0.5909090909090909,0.9285714285714286,46.642857142857146,100,0,0,0
Hyogo,Nishinomiya,14,9,11,0.55,0.7857142857142857,30.642857142857142,93,0,0,0
Tokyo,Suginami City,14,11,12,0.75,0.8571428571428571,20.785714285714285,87,0,0,0
Ibaraki,Tsukuba,12,11,9,0.6428571428571429,0.75,25.583333333333332,91,0,0,0
Tokyo,Itabashi City,12,9,8,0.6666666666666666,0.6666666666666666,25.75,55,0,0,0
Tokyo,Koto City,12,11,7,0.5,0.5833333333333334,32.666666666666664,63,0,0,0
Tokyo,Nerima City,12,8,8,0.5714285714285714,0.6666666666666666,26.75,55,0,0,0
Tokyo,Shinagawa City,11,11,4,0.3333333333333333,0.36363636363636365,15.545454545454545,46,0,0,0
Tokyo,Taito City,11,11,4,0.3333333333333333,0.36363636363636365,19.454545454545453,96,0,0,0
Ishikawa,Kanazawa,10,9,4,0.3333333333333333,0.4,8.5,46,0,0,0
North Carolina,Forest City,9,9,6,0.6666666666666666,0.6666666666666666,2.3333333333333335,39,0,0,0
Saitama,Saitama,9,9,4,0.3333333333333333,0.4444444444444444,14.666666666666666,42,0,0,0
Ibaraki,Mito,8,7,3,0.375,0.375,9.125,27,0,0,0
Ishikawa,Nanao,8,7,13,0.52,1.625,51.375,138,0,0,0
Kanagawa,Kawasaki,8,7,3,0.3333333333333333,0.375,13.75,30,0,0,0
Tokyo,Shibuya City,8,8,4,0.5,0.5,22.125,32,0,0,0
Hyogo,Shiso,7,6,6,0.8571428571428571,0.8571428571428571,13.285714285714286,30,0,0,0
Mie,Yokkaichi,7,7,3,0.42857142857142855,0.42857142857142855,4.571428571428571,25,0,0,0
Osaka,Suita,7,6,4,0.5714285714285714,0.5714285714285714,44.142857142857146,41,0,0,0
Tochigi,Utsunomiya,7,6,3,0.42857142857142855,0.42857142857142855,42.714285714285715,75,0,0,0
Tokyo,Fuchu,7,7,0,0,0,0.2857142857142857,26,0,0,0
Toyama,Toyama,7,5,8,0.7272727272727273,1.1428571428571428,35,51,0,0,0
Chiba,Abiko,6,5,3,0.5,0.5,14.166666666666666,20,0,0,0
Chiba,Kashiwa,6,6,3,0.5,0.5,21.666666666666668,65,0,0,0
County Dublin,Dublin,6,6,4,0.6666666666666666,0.6666666666666666,4,28,0,0,0
Hiroshima,Higashihiroshima,6,6,5,0.8333333333333334,0.8333333333333334,27.166666666666668,26,0,0,0
Iwate,Iwaizumi,6,4,5,0.8333333333333334,0.8333333333333334,72.5,21,0,0,0
Kanagawa,Sagamihara,6,5,4,0.5,0.6666666666666666,120.5,126,0,0,0
Niigata,Murakami,6,5,2,0.3333333333333333,0.3333333333333333,1,19,0,0,0
Tochigi,Oyama,6,6,3,0.375,0.5,14.5,43,0,0,0
Tokyo,Kita City,6,6,1,0.14285714285714285,0.16666666666666666,7.5,23,0,0,0
Tokyo,Meguro City,6,4,16,0.8,2.6666666666666665,109.33333333333333,158,0,0,0
Yamanashi,Kofu,6,5,5,0.7142857142857143,0.8333333333333334,23.5,34,0,0,0
Ehime,Uwajima,5,5,3,0.6,0.6,34.6,30,0,0,0
England,London,5,5,7,0.7777777777777778,1.4,110.4,44,0,0,0
Ibaraki,(not set),5,5,0,0,0,0,16,0,0,0
Kyoto,Uji,5,4,2,0.4,0.4,14.6,18,0,0,0
Okayama,Okayama,5,5,4,0.6666666666666666,0.8,26.6,24,0,0,0
Osaka,Ibaraki,5,4,3,0.6,0.6,24.8,24,0,0,0
Osaka,Sakai,5,4,1,0.2,0.2,3,15,0,0,0
Osaka,Toyonaka,5,5,3,0.6,0.6,21,22,0,0,0
Shizuoka,Shizuoka,5,5,6,0.8571428571428571,1.2,75.8,29,0,0,0
Tokyo,Hachioji,5,4,3,0.6,0.6,5.4,19,0,0,0
Chiba,Urayasu,4,4,0,0,0,0,12,0,0,0
England,Oxford,4,3,4,0.6666666666666666,1,32.75,32,0,0,0
Fukuoka,Kitakyushu,4,4,1,0.25,0.25,5,17,0,0,0
Fukushima,Fukushima,4,4,1,0.25,0.25,1.75,18,0,0,0
Gunma,Takasaki,4,2,3,0.75,0.75,15,14,0,0,0
Hiroshima,Hiroshima,4,2,1,0.2,0.25,16,13,0,0,0
Hokkaido,Muroran,4,3,1,0.25,0.25,9,11,0,0,0
Ibaraki,Hitachi,4,4,2,0.5,0.5,24.25,22,0,0,0
Illinois,Chicago,4,4,1,0.25,0.25,3.5,15,0,0,0
Iwate,Takizawa,4,4,3,0.375,0.75,139.5,42,0,0,0
Kumamoto,Kumamoto,4,3,3,0.75,0.75,24.25,17,0,0,0
Norrbotten County,Lulea,4,4,2,0.5,0.5,3.5,18,0,0,0
Oregon,Prineville,4,4,4,1,1,4.75,20,0,0,0
Shimane,Matsue,4,4,3,0.6,0.75,30.5,17,0,0,0
Shizuoka,Mori,4,2,3,0.75,0.75,18,15,0,0,0
Tokyo,Edogawa City,4,4,3,0.75,0.75,1.25,13,0,0,0
Tokyo,Toshima City,4,4,2,0.5,0.5,7.75,14,0,0,0
Virginia,Ashburn,4,4,4,1,1,7.25,19,0,0,0
Chiba,Funabashi,3,3,0,0,0,0,9,0,0,0
Chiba,Katsuura,3,3,1,0.25,0.3333333333333333,2.3333333333333335,12,0,0,0
Chiba,Noda,3,3,2,0.6666666666666666,0.6666666666666666,25,13,0,0,0
Fukui,Fukui,3,3,2,0.6666666666666666,0.6666666666666666,9.666666666666666,20,0,0,0
Fukuoka,Sasaguri,3,3,1,0.3333333333333333,0.3333333333333333,6,10,0,0,0
Gunma,Maebashi,3,3,0,0,0,0,9,0,0,0
Hokkaido,Kitami,3,3,2,0.5,0.6666666666666666,30.666666666666668,13,0,0,0
Kanagawa,Chigasaki,3,3,1,0.3333333333333333,0.3333333333333333,17.666666666666668,10,0,0,0
Massachusetts,Boston,3,3,1,0.3333333333333333,0.3333333333333333,19,11,0,0,0
Nagano,Nagano,3,3,1,0.3333333333333333,0.3333333333333333,15.666666666666666,10,0,0,0
Niigata,Nagaoka,3,3,1,0.3333333333333333,0.3333333333333333,0,11,0,0,0
Niigata,Niigata,3,3,1,0.3333333333333333,0.3333333333333333,23,10,0,0,0
Okayama,Tsuyama,3,3,2,0.5,0.6666666666666666,6,13,0,0,0
