date,value
2024/10/1,1
2024/10/2,2
2024/10/3,3
2024/10/4,4
2024/10/5,5
2024/10/6,6
2024/10/7,7
2024/10/8,8
2024/10/9,9
2024/10/10,10
2024/10/11,11
2024/10/12,12
2024/10/13,13
2024/10/14,14
2024/10/15,15
2024/10/16,16
2024/10/17,17
2024/10/18,18
2024/10/19,19
2024/10/20,20
2024/10/21,21
2024/10/22,22
2024/10/23,23
2024/10/24,24
2024/10/25,25
2024/10/26,26
2024/10/27,27
2024/10/28,28
2024/10/29,29
2024/10/30,30
2024/10/31,31
2024/11/1,32
2024/11/2,33
2024/11/3,34
2024/11/4,35
2024/11/5,36
2024/11/6,37
2024/11/7,38
2024/11/8,39
2024/11/9,40
2024/11/10,41
2024/11/11,42
2024/11/12,43
2024/11/13,44
2024/11/14,45
2024/11/15,46
2024/11/16,47
2024/11/17,48
2024/11/18,49
2024/11/19,50
2024/11/20,51
2024/11/21,52
2024/11/22,53
2024/11/23,54
2024/11/24,55
2024/11/25,56
2024/11/26,57
2024/11/27,58
2024/11/28,59
2024/11/29,60
2024/11/30,61
2024/12/1,62
2024/12/2,63
2024/12/3,64
2024/12/4,65
2024/12/5,66
2024/12/6,67
2024/12/7,68
2024/12/8,69
2024/12/9,70
2024/12/10,71
2024/12/11,72
2024/12/12,73
2024/12/13,74
2024/12/14,75
2024/12/15,76
2024/12/16,77
2024/12/17,78
2024/12/18,79
2024/12/19,80
2024/12/20,81
2024/12/21,82
2024/12/22,83
2024/12/23,84
2024/12/24,85
2024/12/25,86
2024/12/26,87
2024/12/27,88
2024/12/28,89
2024/12/29,90
2024/12/30,91
2024/12/31,92
2025/1/1,93
2025/1/2,94
2025/1/3,95
2025/1/4,96
2025/1/5,97
2025/1/6,98
2025/1/7,99
2025/1/8,100
2025/1/9,101
2025/1/10,102
2025/1/11,103
2025/1/12,104
2025/1/13,105
2025/1/14,106
2025/1/15,107
2025/1/16,108
2025/1/17,109
2025/1/18,110
2025/1/19,111
2025/1/20,112
2025/1/21,113
2025/1/22,114
2025/1/23,115
2025/1/24,116
2025/1/25,117
2025/1/26,118
2025/1/27,119
2025/1/28,120
2025/1/29,121
2025/1/30,122
2025/1/31,123
2025/2/1,124
2025/2/2,125
2025/2/3,126
2025/2/4,127
2025/2/5,128
2025/2/6,129
2025/2/7,130
2025/2/8,131
2025/2/9,132
2025/2/10,133
2025/2/11,134
2025/2/12,135
2025/2/13,136
2025/2/14,137
2025/2/15,138
2025/2/16,139
2025/2/17,140
2025/2/18,141
2025/2/19,142
2025/2/20,143
2025/2/21,144
2025/2/22,145
2025/2/23,146
2025/2/24,147
2025/2/25,148
2025/2/26,149
2025/2/27,150
2025/2/28,151
2025/3/1,152
2025/3/2,153
2025/3/3,154
2025/3/4,155
2025/3/5,156
2025/3/6,157
2025/3/7,158
2025/3/8,159
2025/3/9,160
2025/3/10,161
2025/3/11,162
2025/3/12,163
2025/3/13,164
2025/3/14,165
2025/3/15,166
2025/3/16,167
2025/3/17,168
2025/3/18,169
2025/3/19,170
2025/3/20,171
2025/3/21,172
2025/3/22,173
2025/3/23,174
2025/3/24,175
2025/3/25,176
2025/3/26,177
2025/3/27,178
2025/3/28,179
2025/3/29,180
2025/3/30,181
2025/3/31,182
2025/4/1,183
2025/4/2,184
2025/4/3,185
2025/4/4,186
2025/4/5,187
2025/4/6,188
2025/4/7,189
2025/4/8,190
2025/4/9,191
2025/4/10,192
2025/4/11,193
2025/4/12,194
2025/4/13,195
2025/4/14,196
2025/4/15,197
2025/4/16,198
2025/4/17,199
2025/4/18,200
2025/4/19,201
2025/4/20,202
2025/4/21,203
2025/4/22,204
2025/4/23,205
2025/4/24,206
2025/4/25,207
2025/4/26,208
2025/4/27,209
2025/4/28,210
2025/4/29,211
2025/4/30,212
2025/5/1,213
2025/5/2,214
2025/5/3,215
2025/5/4,216
2025/5/5,217
2025/5/6,218
2025/5/7,219
2025/5/8,220
2025/5/9,221
2025/5/10,222
2025/5/11,223
2025/5/12,224
2025/5/13,225
2025/5/14,226
2025/5/15,227
2025/5/16,228
2025/5/17,229
2025/5/18,230
2025/5/19,231
2025/5/20,232
2025/5/21,233
2025/5/22,234
2025/5/23,235
2025/5/24,236
2025/5/25,237
2025/5/26,238
2025/5/27,239
2025/5/28,240
2025/5/29,241
2025/5/30,242
2025/5/31,243
2025/6/1,244
2025/6/2,245
2025/6/3,246
2025/6/4,247
2025/6/5,248
2025/6/6,249
2025/6/7,250
2025/6/8,251
2025/6/9,252
2025/6/10,253
2025/6/11,254
2025/6/12,255
2025/6/13,256
2025/6/14,257
2025/6/15,258
2025/6/16,259
2025/6/17,260
2025/6/18,261
2025/6/19,262
2025/6/20,263
2025/6/21,264
2025/6/22,265
2025/6/23,266
2025/6/24,267
2025/6/25,268
2025/6/26,269
2025/6/27,270
2025/6/28,271
2025/6/29,272
2025/6/30,273
2025/7/1,274
2025/7/2,275
2025/7/3,276
2025/7/4,277
2025/7/5,278
2025/7/6,279
2025/7/7,280
2025/7/8,281
2025/7/9,282
2025/7/10,283
2025/7/11,284
2025/7/12,285
2025/7/13,286
2025/7/14,287
2025/7/15,288
2025/7/16,289
2025/7/17,290
2025/7/18,291
2025/7/19,292
2025/7/20,293
2025/7/21,294
2025/7/22,295
2025/7/23,296
2025/7/24,297
2025/7/25,298
2025/7/26,299
2025/7/27,300
2025/7/28,301
2025/7/29,302
2025/7/30,303
2025/7/31,304
2025/8/1,305
2025/8/2,306
2025/8/3,307
2025/8/4,308
2025/8/5,309
2025/8/6,310
2025/8/7,311
2025/8/8,312
2025/8/9,313
2025/8/10,314
2025/8/11,315
2025/8/12,316
2025/8/13,317
2025/8/14,318
2025/8/15,319
2025/8/16,320
2025/8/17,321
2025/8/18,322
2025/8/19,323
2025/8/20,324
2025/8/21,325
2025/8/22,326
2025/8/23,327
2025/8/24,328
2025/8/25,329
2025/8/26,330
2025/8/27,331
2025/8/28,332
2025/8/29,333
2025/8/30,334
2025/8/31,335
2025/9/1,336
2025/9/2,337
2025/9/3,338
2025/9/4,339
2025/9/5,340
2025/9/6,341
2025/9/7,342
2025/9/8,343
2025/9/9,344
2025/9/10,345
2025/9/11,346
2025/9/12,347
2025/9/13,348
2025/9/14,349
2025/9/15,350
2025/9/16,351
2025/9/17,352
2025/9/18,353
2025/9/19,354
2025/9/20,355
2025/9/21,356
2025/9/22,357
2025/9/23,358
2025/9/24,359
2025/9/25,360
2025/9/26,361
2025/9/27,362
2025/9/28,363
2025/9/29,364
2025/9/30,365
